,Platform,Genre,Publisher,Critic_Score,User_Score,Rating,Cat
0,PS2,Racing,Sony Computer Entertainment,95.0,8.4,E,Sports
1,X360,Shooter,Activision,88.0,3.4,M,Action
2,X360,Shooter,Activision,87.0,6.3,M,Action
3,PS3,Shooter,Activision,83.0,5.3,M,Action
4,X360,Shooter,Activision,83.0,4.8,M,Action
5,X360,Shooter,Activision,94.0,6.3,M,Action
6,PS3,Shooter,Activision,88.0,3.2,M,Action
7,PS3,Shooter,Activision,88.0,6.4,M,Action
8,PS2,Racing,Sony Computer Entertainment,89.0,8.5,E,Sports
9,PS3,Racing,Sony Computer Entertainment,84.0,7.5,E,Sports
10,PS3,Shooter,Activision,94.0,6.3,M,Action
11,X360,Shooter,Activision,73.0,2.6,M,Action
12,PS3,Shooter,Activision,71.0,2.6,M,Action
13,X360,Shooter,Activision,94.0,8.4,M,Action
14,PS3,Action,Electronic Arts,88.0,6.6,E,Action
15,PS2,Role-Playing,Sony Computer Entertainment,92.0,8.7,T,Strategy
16,PC,Simulation,Electronic Arts,86.0,7.6,T,Strategy
17,X360,Shooter,Activision,84.0,7.6,M,Action
18,X360,Shooter,Electronic Arts,84.0,7.4,M,Action
19,PS2,Racing,Electronic Arts,85.0,8.6,E,Sports
20,PS3,Shooter,Electronic Arts,85.0,7.5,M,Action
21,PS2,Racing,Electronic Arts,82.0,8.6,E,Sports
22,PS2,Shooter,Electronic Arts,88.0,8.5,T,Action
23,PS3,Action,Sony Computer Entertainment,92.0,8.3,T,Action
24,PS3,Shooter,Activision,94.0,8.4,M,Action
25,PS3,Action,Sony Computer Entertainment,96.0,8.8,T,Action
26,PS3,Sports,Electronic Arts,86.0,4.3,E,Sports
27,PS3,Action,Ubisoft,85.0,6.9,M,Action
28,PS2,Role-Playing,Sony Computer Entertainment,85.0,8.8,E,Strategy
29,PC,Role-Playing,Activision,93.0,7.3,T,Strategy
30,PS3,Platform,Sony Computer Entertainment,95.0,6.8,E,Adventure
31,PS3,Action,Ubisoft,91.0,8.6,M,Action
32,X360,Adventure,Ubisoft,81.0,7.7,M,Adventure
33,PS3,Shooter,Activision,85.0,7.6,M,Action
34,X360,Action,Ubisoft,84.0,6.7,M,Action
35,PS2,Role-Playing,Electronic Arts,85.0,6.6,T,Strategy
36,X360,Action,Ubisoft,90.0,8.8,M,Action
37,X360,Action,Electronic Arts,90.0,6.1,E,Action
38,PC,Role-Playing,Activision,88.0,4,M,Strategy
39,PS2,Shooter,Electronic Arts,68.0,7.6,T,Action
40,PS3,Sports,Electronic Arts,89.0,8,E,Sports
41,PS2,Misc,Activision,82.0,8.2,T,Puzzle
42,PS3,Action,Sony Computer Entertainment,88.0,8.1,T,Action
43,PS2,Sports,Electronic Arts,88.0,8,E,Sports
44,PC,Strategy,Activision,93.0,8.2,T,Strategy
45,PS3,Adventure,Ubisoft,81.0,7.3,M,Adventure
46,PS3,Action,Sony Computer Entertainment,92.0,8.7,M,Action
47,PS2,Action,Electronic Arts,82.0,8.2,T,Action
48,PS2,Sports,Electronic Arts,91.0,7.9,E,Sports
49,X360,Misc,Activision,85.0,7.9,T,Puzzle
50,PS2,Sports,Electronic Arts,84.0,8.2,E,Sports
51,PS2,Action,Activision,76.0,7.9,E,Action
52,PS2,Action,Sony Computer Entertainment,94.0,8.9,M,Action
53,PS2,Sports,Activision,97.0,7.5,T,Sports
54,PS2,Racing,Electronic Arts,82.0,9.1,T,Sports
55,PS3,Shooter,Sony Computer Entertainment,86.0,8.1,M,Action
56,PS3,Action,Ubisoft,80.0,7.5,M,Action
57,X360,Sports,Electronic Arts,84.0,4.2,E,Sports
58,PS2,Sports,Electronic Arts,80.0,7.8,E,Sports
59,PS2,Misc,Sony Computer Entertainment,80.0,7.5,E,Puzzle
60,PS3,Racing,Sony Computer Entertainment,80.0,7.1,E,Sports
61,X360,Action,Ubisoft,80.0,7.2,M,Action
62,PS2,Sports,Electronic Arts,95.0,7.7,E,Sports
63,PC,Role-Playing,Activision,91.0,7.9,T,Strategy
64,PS2,Action,Sony Computer Entertainment,93.0,8.9,M,Action
65,X360,Shooter,Electronic Arts,89.0,8.6,M,Action
66,PS2,Sports,Activision,90.0,8.7,T,Sports
67,PS3,Racing,Sony Computer Entertainment,84.0,7.4,T,Sports
68,PS3,Sports,Sony Computer Entertainment,76.0,7.9,E10+,Sports
69,X360,Action,Activision,77.0,7.5,E10+,Action
70,PC,Simulation,Electronic Arts,79.0,8,T,Strategy
71,PS3,Action,Ubisoft,88.0,8.1,M,Action
72,PS2,Sports,Electronic Arts,81.0,7.6,E,Sports
73,PS2,Sports,Activision,94.0,8.5,T,Sports
74,PS2,Shooter,Sony Computer Entertainment,82.0,7.9,M,Action
75,PS2,Platform,Sony Computer Entertainment,90.0,8.7,E,Adventure
76,PS3,Sports,Electronic Arts,91.0,7.6,E,Sports
77,PS2,Racing,Electronic Arts,64.0,7.7,T,Sports
78,PS2,Action,Sony Computer Entertainment,72.0,6.8,M,Action
79,PS2,Shooter,Electronic Arts,72.0,7.9,T,Action
80,X360,Sports,Electronic Arts,88.0,7.5,E,Sports
81,X360,Shooter,Electronic Arts,89.0,7.9,M,Action
82,X360,Action,Ubisoft,89.0,8.3,M,Action
83,PS3,Shooter,Electronic Arts,80.0,5.8,M,Action
84,X360,Shooter,Electronic Arts,79.0,5.6,M,Action
85,X360,Shooter,Electronic Arts,88.0,8.6,M,Action
86,PS2,Action,Activision,80.0,8.9,T,Action
87,PS2,Sports,Electronic Arts,88.0,6.7,E,Sports
88,PS3,Platform,Sony Computer Entertainment,91.0,8.4,E,Adventure
89,PS3,Shooter,Ubisoft,90.0,8.5,M,Action
90,PS2,Shooter,Electronic Arts,77.0,8.5,T,Action
91,X360,Action,Ubisoft,86.0,7.9,M,Action
92,PS2,Action,Electronic Arts,85.0,8.7,T,Action
93,PS2,Action,Activision,77.0,8,M,Action
94,PS3,Racing,Sony Computer Entertainment,81.0,7.7,E,Sports
95,PS2,Sports,Electronic Arts,83.0,6.5,E,Sports
96,PS3,Role-Playing,Ubisoft,93.0,8,M,Strategy
97,X360,Role-Playing,Electronic Arts,96.0,8.9,M,Strategy
98,PS2,Sports,Electronic Arts,94.0,7.9,E,Sports
99,PC,Simulation,Electronic Arts,75.0,7.8,T,Strategy
100,PC,Simulation,Electronic Arts,70.0,3.9,T,Strategy
101,X360,Action,Activision,75.0,7.4,E10+,Action
102,X360,Role-Playing,Electronic Arts,93.0,5.8,M,Strategy
